文部科学省　学校コード一覧,,,,,,,,,,更新日：,5/23/2024
学校コード,学校種,都道府県番号,"設置
区分",本分校,学校名,学校所在地,郵便番号,"属性情報
設定年月日","属性情報
廃止年月日","旧学校
調査番号",移行後の学校コード
F113310102966,F1(大学),13(東京),3(私),1(本),北里大学,東京都港区白金５－９－１,1088641,2021-01-20,,2194,
F113310102975,F1(大学),13(東京),3(私),1(本),共立女子大学,東京都千代田区一ツ橋２－２－１,1018437,2021-01-20,,2195,
F113310102984,F1(大学),13(東京),3(私),1(本),慶應義塾大学,東京都港区三田２－１５－４５,1088345,2021-01-20,,2197,
F113310102993,F1(大学),13(東京),3(私),1(本),工学院大学,東京都新宿区西新宿１－２４－２,1638677,2021-01-20,,2198,
F113310103000,F1(大学),13(東京),3(私),1(本),國學院大學,東京都渋谷区東４－１０－２８,1508440,2021-01-20,,2199,
F113310103019,F1(大学),13(東京),3(私),1(本),国士舘大学,東京都世田谷区世田谷４－２８－１,1548515,2021-01-20,,2200,
F113310103028,F1(大学),13(東京),3(私),1(本),駒澤大学,東京都世田谷区駒沢１－２３－１,1540012,2021-01-20,,2201,
F113310103037,F1(大学),13(東京),3(私),1(本),実践女子大学,東京都日野市大坂上４－１－１,1910061,2021-01-20,,2202,
F113310103046,F1(大学),13(東京),3(私),1(本),芝浦工業大学,東京都江東区豊洲３－７－５,1358548,2021-01-20,,2203,
F113310103055,F1(大学),13(東京),3(私),1(本),順天堂大学,東京都文京区本郷２－１－１,1138421,2021-01-20,,2204,
F113310103064,F1(大学),13(東京),3(私),1(本),上智大学,東京都千代田区紀尾井町７－１,1028554,2021-01-20,,2205,
F113310103073,F1(大学),13(東京),3(私),1(本),昭和大学,東京都品川区旗の台１－５－８,1428555,2021-01-20,,2206,
F113310103082,F1(大学),13(東京),3(私),1(本),昭和女子大学,東京都世田谷区太子堂１－７－５７,1548533,2021-01-20,,2207,
F113310103091,F1(大学),13(東京),3(私),1(本),昭和薬科大学,東京都町田市東玉川学園３－３１６５,1948543,2021-01-20,,2208,
F113310103108,F1(大学),13(東京),3(私),1(本),女子美術大学,東京都杉並区和田１－４９－８,1668538,2021-01-20,,2210,
F113310103117,F1(大学),13(東京),3(私),1(本),杉野服飾大学,東京都品川区上大崎４－６－１９,1410021,2021-01-20,,2211,
F113310103126,F1(大学),13(東京),3(私),1(本),成城大学,東京都世田谷区成城６－１－２０,1578511,2021-01-20,,2212,
F113310103135,F1(大学),13(東京),3(私),1(本),聖心女子大学,東京都渋谷区広尾４－３－１,1500012,2021-01-20,,2213,
F113310103144,F1(大学),13(東京),3(私),1(本),清泉女子大学,東京都品川区東五反田３－１６－２１,1410022,2021-01-20,,2214,
F113310103153,F1(大学),13(東京),3(私),1(本),聖路加国際大学,東京都中央区明石町１０－１,1040044,2021-01-20,,2215,
F113310103162,F1(大学),13(東京),3(私),1(本),専修大学,東京都千代田区神田神保町３－８,1018425,2021-01-20,,2216,
F113310103171,F1(大学),13(東京),3(私),1(本),大正大学,東京都豊島区西巣鴨３－２０－１,1700001,2021-01-20,,2218,
F113310103180,F1(大学),13(東京),3(私),1(本),大東文化大学,東京都板橋区高島平１－９－１,1758571,2021-01-20,,2219,
F113310103199,F1(大学),13(東京),3(私),1(本),高千穂大学,東京都杉並区大宮２－１９－１,1680061,2021-01-20,,2220,
F113310103206,F1(大学),13(東京),3(私),1(本),拓殖大学,東京都文京区小日向３－４－１４,1120006,2021-01-20,,2221,
F113310103215,F1(大学),13(東京),3(私),1(本),多摩美術大学,東京都世田谷区上野毛３－１５－３４,1588558,2021-01-20,,2222,
F113310103224,F1(大学),13(東京),3(私),1(本),中央大学,東京都八王子市東中野７４２－１,1920393,2021-01-20,,2223,
F113310103233,F1(大学),13(東京),3(私),1(本),東海大学,東京都渋谷区富ヶ谷２－１０－２,1510063,2021-01-20,,2224,
F113310103242,F1(大学),13(東京),3(私),1(本),東京医科大学,東京都新宿区新宿６－１－１,1608402,2021-01-20,,2225,
F113310103251,F1(大学),13(東京),3(私),1(本),東京家政大学,東京都板橋区加賀１－１８－１,1738602,2021-01-20,,2226,
F113310103260,F1(大学),13(東京),3(私),1(本),東京家政学院大学,東京都千代田区三番町２２番地,1028341,2021-01-20,,2227,
F113310103279,F1(大学),13(東京),3(私),1(本),東京歯科大学,東京都千代田区神田三崎町２－９－１８,1010061,2021-01-20,,2228,
F113310103288,F1(大学),13(東京),3(私),1(本),東京慈恵会医科大学,東京都港区西新橋３－２５－８,1058461,2021-01-20,,2229,
F113310103297,F1(大学),13(東京),3(私),1(本),東京女子大学,東京都杉並区善福寺２－６－１,1670041,2021-01-20,,2230,
F113310103304,F1(大学),13(東京),3(私),1(本),東京女子医科大学,東京都新宿区河田町８－１,1620054,2021-01-20,,2231,
F113310103313,F1(大学),13(東京),3(私),1(本),東京電機大学,東京都足立区千住旭町５番,1200026,2021-01-20,,2232,
F113310103322,F1(大学),13(東京),3(私),1(本),東京農業大学,東京都世田谷区桜丘１－１－１,1560054,2021-01-20,,2233,
F113310103331,F1(大学),13(東京),3(私),1(本),東京薬科大学,東京都八王子市堀之内１４３２－１,1920392,2021-01-20,,2234,
F113310103340,F1(大学),13(東京),3(私),1(本),東京理科大学,東京都新宿区神楽坂１－３,1628601,2021-01-20,,2235,
F113310103359,F1(大学),13(東京),3(私),1(本),東邦大学,東京都大田区大森西５－２１－１６,1438540,2021-01-20,,2236,
F113310103368,F1(大学),13(東京),3(私),1(本),東洋大学,東京都文京区白山５－２８－２０,1120001,2021-01-20,,2237,
F113310103377,F1(大学),13(東京),3(私),1(本),東京音楽大学,東京都目黒区上目黒１－９－１,1538622,2021-01-20,,2238,
F113310103386,F1(大学),13(東京),3(私),1(本),二松学舎大学,東京都千代田区三番町６－１６,1028336,2021-01-20,,2239,
F113310103395,F1(大学),13(東京),3(私),1(本),日本大学,東京都千代田区九段南４－８－２４,1028275,2021-01-20,,2240,
F113310103402,F1(大学),13(東京),3(私),1(本),日本医科大学,東京都文京区千駄木１－１－５,1138602,2021-01-20,,2241,
F113310103411,F1(大学),13(東京),3(私),1(本),日本歯科大学,東京都千代田区富士見１－９－２０,1020071,2021-01-20,,2242,
F113310103420,F1(大学),13(東京),3(私),1(本),日本社会事業大学,東京都清瀬市竹丘３－１－３０,2040023,2021-01-20,,2243,
F113310103439,F1(大学),13(東京),3(私),1(本),日本女子大学,東京都文京区目白台２－８－１,1128681,2021-01-20,,2244,
F113310103448,F1(大学),13(東京),3(私),1(本),日本女子体育大学,東京都世田谷区北烏山８－１９－１,1578565,2021-01-20,,2245,
F113310103457,F1(大学),13(東京),3(私),1(本),日本体育大学,東京都世田谷区深沢７－１－１,1580081,2021-01-20,,2246,
F113310103466,F1(大学),13(東京),3(私),1(本),ルーテル学院大学,東京都三鷹市大沢３－１０－２０,1810015,2021-01-20,,2247,
F113310103475,F1(大学),13(東京),3(私),1(本),文化学園大学,東京都渋谷区代々木３－２２－１,1510053,2021-01-20,,2248,
F113310103484,F1(大学),13(東京),3(私),1(本),法政大学,東京都千代田区富士見２－１７－１,1028160,2021-01-20,,2249,
F113310103493,F1(大学),13(東京),3(私),1(本),星薬科大学,東京都品川区荏原２－４－４１,1420063,2021-01-20,,2250,
F113310103509,F1(大学),13(東京),3(私),1(本),武蔵大学,東京都練馬区豊玉上１－２６－１,1768534,2021-01-20,,2251,
F113310103518,F1(大学),13(東京),3(私),1(本),東京都市大学,東京都世田谷区玉堤１－２８－１,1580087,2021-01-20,,2252,
F113310103527,F1(大学),13(東京),3(私),1(本),武蔵野音楽大学,東京都練馬区羽沢１－１３－１,1768521,2021-01-20,,2253,
F113310103536,F1(大学),13(東京),3(私),1(本),明治大学,東京都千代田区神田駿河台１－１,1018301,2021-01-20,,2254,
F113310103545,F1(大学),13(東京),3(私),1(本),明治学院大学,東京都港区白金台１－２－３７,1088636,2021-01-20,,2255,
F113310103554,F1(大学),13(東京),3(私),1(本),明治薬科大学,東京都清瀬市野塩二丁目５２２－１,2048588,2021-01-20,,2256,
F113310103563,F1(大学),13(東京),3(私),1(本),立教大学,東京都豊島区西池袋３－３４－１,1710021,2021-01-20,,2257,
F113310103572,F1(大学),13(東京),3(私),1(本),立正大学,東京都品川区大崎４－２－１６,1418602,2021-01-20,,2258,
F113310103581,F1(大学),13(東京),3(私),1(本),早稲田大学,東京都新宿区戸塚町１－１０４,1698050,2021-01-20,,2259,
F113310103590,F1(大学),13(東京),3(私),1(本),国際仏教学大学院大学,東京都文京区春日２－８－９,1120003,2021-01-20,,2260,
F113310103607,F1(大学),13(東京),3(私),1(本),学習院女子大学,東京都新宿区戸山３丁目２０－１,1620052,2021-01-20,,2261,
F113310103616,F1(大学),13(東京),3(私),1(本),東京国際工科専門職大学,東京都新宿区西新宿１－７－３　,1600023,2021-01-20,,2289,
F113310103625,F1(大学),13(東京),3(私),1(本),東京保健医療専門職大学,東京都江東区塩浜２－２２－１０,1350043,2021-01-20,,2290,
F113310103634,F1(大学),13(東京),3(私),1(本),情報経営イノベーション専門職大学,東京都墨田区文花１‐１８‐１３　,1310044,2021-01-20,,2291,
F113310103643,F1(大学),13(東京),3(私),1(本),大学院大学至善館,東京都中央区日本橋２丁目５ー１日本橋髙島屋三井ビルディング１７階,1036117,2021-01-20,,2292,
F113310103652,F1(大学),13(東京),3(私),1(本),東京通信大学,東京都新宿区西新宿１－７－３,1600023,2021-01-20,,2293,
F113310103661,F1(大学),13(東京),3(私),1(本),国際ファッション専門職大学,東京都新宿区西新宿１－７－３,1600023,2021-01-20,,2294,
F113310103670,F1(大学),13(東京),3(私),1(本),駒沢女子大学,東京都稲城市坂浜２３８,2068511,2021-01-20,,2295,
F113310103689,F1(大学),13(東京),3(私),1(本),亜細亜大学,東京都武蔵野市境５－８,1800022,2021-01-20,,2296,
F113310103698,F1(大学),13(東京),3(私),1(本),桜美林大学,東京都町田市常盤町３７５８,1940294,2021-01-20,,2297,
F113310103705,F1(大学),13(東京),3(私),1(本),国立音楽大学,東京都立川市柏町５－５－１,1900004,2021-01-20,,2298,
F113310103714,F1(大学),13(東京),3(私),1(本),国際基督教大学,東京都三鷹市大沢３－１０－２,1818585,2021-01-20,,2299,
F113310103723,F1(大学),13(東京),3(私),1(本),白百合女子大学,東京都調布市緑ケ丘１－２５,1828525,2021-01-20,,2300,
F113310103732,F1(大学),13(東京),3(私),1(本),成蹊大学,東京都武蔵野市吉祥寺北町３－３－１,1808633,2021-01-20,,2301,
F113310103741,F1(大学),13(東京),3(私),1(本),玉川大学,東京都町田市玉川学園６－１－１,1948610,2021-01-20,,2302,
F113310103750,F1(大学),13(東京),3(私),1(本),津田塾大学,東京都小平市津田町２－１－１,1878577,2021-01-20,,2303,
F113310103769,F1(大学),13(東京),3(私),1(本),帝京大学,東京都板橋区加賀２－１１－１,1738605,2021-01-20,,2304,
F113310103778,F1(大学),13(東京),3(私),1(本),東京経済大学,東京都国分寺市南町１－７－３４,1850021,2021-01-20,,2305,
F113310103787,F1(大学),13(東京),3(私),1(本),東京女子体育大学,東京都国立市富士見台４－３０－１,1868668,2021-01-20,,2306,
F113310103796,F1(大学),13(東京),3(私),1(本),東京神学大学,東京都三鷹市大沢３－１０－３０,1810015,2021-01-20,,2307,
F113310103803,F1(大学),13(東京),3(私),1(本),東京造形大学,東京都八王子市宇津貫町１５５６,1920992,2021-01-20,,2308,
F113310103812,F1(大学),13(東京),3(私),1(本),桐朋学園大学,東京都調布市若葉町１－４１－１,1820003,2021-01-20,,2309,
F113310103821,F1(大学),13(東京),3(私),1(本),日本獣医生命科学大学,東京都武蔵野市境南町１－７－１,1800023,2021-01-20,,2310,
F113310103830,F1(大学),13(東京),3(私),1(本),武蔵野大学,東京都江東区有明三丁目３番３号,1358181,2021-01-20,,2311,
F113310103849,F1(大学),13(東京),3(私),1(本),武蔵野美術大学,東京都小平市小川町１－７３６,1878505,2021-01-20,,2312,
F113310103858,F1(大学),13(東京),3(私),1(本),明星大学,東京都日野市程久保２－１－１,1918506,2021-01-20,,2313,
F113310103867,F1(大学),13(東京),3(私),1(本),和光大学,東京都町田市金井ヶ丘５－１－１,1958585,2021-01-20,,2314,
F113310103876,F1(大学),13(東京),3(私),1(本),杏林大学,東京都三鷹市新川６－２０－２,1810004,2021-01-20,,2315,
F113310103885,F1(大学),13(東京),3(私),1(本),創価大学,東京都八王子市丹木町１－２３６,1928577,2021-01-20,,2316,
F113310103894,F1(大学),13(東京),3(私),1(本),日本文化大学,東京都八王子市片倉町９７７,1920986,2021-01-20,,2317,
F113310103901,F1(大学),13(東京),3(私),1(本),東京工科大学,東京都八王子市片倉町１４０４－１,1920982,2021-01-20,,2319,
F113310103910,F1(大学),13(東京),3(私),1(本),日本赤十字看護大学,東京都渋谷区広尾４－１－３,1500012,2021-01-20,,2320,
F113310103929,F1(大学),13(東京),3(私),1(本),恵泉女学園大学,東京都多摩市南野２－１０－１,2060032,2021-01-20,,2321,
F113310103938,F1(大学),13(東京),3(私),1(本),多摩大学,東京都多摩市聖ケ丘４－１－１,2060022,2021-01-20,,2322,
F113310103947,F1(大学),13(東京),3(私),1(本),東京純心大学,東京都八王子市滝山町２－６００,1920011,2021-01-20,,2323,
F113310103956,F1(大学),13(東京),3(私),1(本),嘉悦大学,東京都小平市花小金井南町２丁目８番４号,1878578,2021-01-20,,2324,
F113310103965,F1(大学),13(東京),3(私),1(本),東京富士大学,東京都新宿区下落合一丁目七番七号,1618556,2021-01-20,,2326,
F113310103974,F1(大学),13(東京),3(私),1(本),ＬＥＣ東京リーガルマインド大学院大学,東京都千代田区神田三崎町２－２－１５,1010061,2021-01-20,,2327,
F113310103983,F1(大学),13(東京),3(私),1(本),デジタルハリウッド大学,東京都千代田区神田駿河台４－６　御茶ノ水ソラシティ　アカデミア３Ｆ／４Ｆ,1010062,2021-01-20,,2328,
F113310103992,F1(大学),13(東京),3(私),1(本),白梅学園大学,東京都小平市小川町１丁目８３０番地,1870032,2021-01-20,,2329,
F113310104009,F1(大学),13(東京),3(私),1(本),東京医療保健大学,東京都品川区東五反田４－１－１７,1418648,2021-01-20,,2330,
F113310104018,F1(大学),13(東京),3(私),1(本),東京聖栄大学,東京都葛飾区西新小岩一丁目４番６号,1248530,2021-01-20,,2331,
F113310104027,F1(大学),13(東京),3(私),1(本),ビジネス・ブレークスルー大学,東京都千代田区六番町１－７　Ｏｈｍａｅ＠ｗｏｒｋビル,1020085,2021-01-20,,2339,
F113310104036,F1(大学),13(東京),3(私),1(本),グロービス経営大学院大学,東京都千代田区二番町５番地１,1020084,2021-01-20,,2341,
F113310104045,F1(大学),13(東京),3(私),1(本),文化ファッション大学院大学,東京都渋谷区代々木三丁目２２番１号,1510053,2021-01-20,,2343,
F113310104054,F1(大学),13(東京),3(私),1(本),大原大学院大学,東京都千代田区西神田１－２－１０,1010065,2021-01-20,,2345,
F113310104063,F1(大学),13(東京),3(私),1(本),東京未来大学,東京都足立区千住曙町３４番１２,1200023,2021-01-20,,2346,
F113310104072,F1(大学),13(東京),3(私),1(本),ハリウッド大学院大学,東京都港区六本木６丁目４番１号,1060032,2021-01-20,,2348,
F113310104081,F1(大学),13(東京),3(私),1(本),ＳＢＩ大学院大学,東京都港区六本木１－６－１　泉ガーデンタワー２１階,1066021,2021-01-20,,2349,
F113310104090,F1(大学),13(東京),3(私),1(本),こども教育宝仙大学,東京都中野区中央二丁目３３番２６号,1640011,2021-01-20,,2350,
F113310104107,F1(大学),13(東京),3(私),1(本),東京有明医療大学,東京都江東区有明２丁目９番１号,1350063,2021-01-20,,2351,
F113310104116,F1(大学),13(東京),3(私),1(本),東京工芸大学,東京都中野区本町２－９－５,1648678,2021-01-20,,2358,
F113310104125,F1(大学),13(東京),3(私),1(本),産業能率大学,東京都世田谷区等々力６－３９－１５,1588630,2021-01-20,,2361,
F113310104134,F1(大学),13(東京),3(私),1(本),ヤマザキ動物看護大学,東京都八王子市南大沢４－７－２,1920364,2021-01-20,,2383,
F113310104143,F1(大学),13(東京),3(私),1(本),東京医療学院大学,東京都多摩市落合４－１１,2060033,2021-01-20,,2398,
F113310104152,F1(大学),13(東京),3(私),1(本),事業構想大学院大学,東京都港区南青山３－１３－１６,1070062,2021-01-20,,2399,
F113310104161,F1(大学),13(東京),3(私),1(本),社会構想大学院大学,東京都新宿区高田馬場１－２５－３０,1698518,2021-01-20,,2400,
F113310104170,F1(大学),13(東京),3(私),1(本),帝京科学大学,東京都足立区千住桜木２－２－１,1200045,2021-01-20,,2405,
F113310104189,F1(大学),13(東京),3(私),1(本),東京情報デザイン専門職大学,東京都江戸川区小松川２－７－１,1320034,2023-05-01,,,
F113310104198,F1(大学),13(東京),3(私),1(本),東京国際大学,東京都豊島区東池袋４－４２－３１,1700013,2024-05-01,,,
F213310104188,F2(短大),13(東京),3(私),1(本),愛国学園短期大学,東京都江戸川区西小岩５－７－１,1338585,2021-01-20,,5190,
F213310104197,F2(短大),13(東京),3(私),9(廃),青山学院女子短期大学,東京都渋谷区渋谷４－４－２５,1500002,2021-01-20,2023-05-01,5192,
F213310104204,F2(短大),13(東京),3(私),1(本),上野学園短期大学,東京都台東区東上野４－２４－１２,1108642,2021-01-20,,5195,
F213310104213,F2(短大),13(東京),3(私),1(本),大妻女子大学短期大学部,東京都千代田区三番町１２,1028357,2021-01-20,,5196,
F213310104222,F2(短大),13(東京),3(私),1(本),共立女子短期大学,東京都千代田区一ツ橋２－２－１,1018437,2021-01-20,,5200,
F213310104231,F2(短大),13(東京),3(私),1(本),国際短期大学,東京都中野区江古田４－８－８,1650022,2021-01-20,,5203,
F213310104240,F2(短大),13(東京),3(私),1(本),駒沢女子短期大学,東京都稲城市坂浜２３８,2068511,2021-01-20,,5205,
F213310104259,F2(短大),13(東京),3(私),1(本),自由が丘産能短期大学,東京都世田谷区等々力６－３９－１５,1580082,2021-01-20,,5207,
F213310104268,F2(短大),13(東京),3(私),1(本),実践女子大学短期大学部,東京都渋谷区東１－１－４９,1508538,2021-01-20,,5208,
F213310104277,F2(短大),13(東京),3(私),1(本),淑徳大学短期大学部,東京都板橋区前野町６－３６－４,1748631,2021-01-20,,5210,
F213310104286,F2(短大),13(東京),3(私),1(本),女子栄養大学短期大学部,東京都豊島区駒込３－２４－３,1708481,2021-01-20,,5213,
F213310104295,F2(短大),13(東京),3(私),1(本),女子美術大学短期大学部,東京都杉並区和田１－４９－８,1660012,2021-01-20,,5214,
F213310104302,F2(短大),13(東京),3(私),9(廃),杉野服飾大学短期大学部,東京都品川区上大崎４－６－１９,1410021,2021-01-20,2024-05-01,5215,
F213310104311,F2(短大),13(東京),3(私),1(本),星美学園短期大学,東京都北区赤羽台４－２－１４,1158524,2021-01-20,,5218,
F213310104320,F2(短大),13(東京),3(私),1(本),帝京大学短期大学,東京都八王子市大塚３５９,1920395,2021-01-20,,5222,
F213310104339,F2(短大),13(東京),3(私),1(本),帝京短期大学,東京都渋谷区本町６－３１－１,1510071,2021-01-20,,5223,
F213310104348,F2(短大),13(東京),3(私),1(本),戸板女子短期大学,東京都港区芝２－２１－１７,1050014,2021-01-20,,5224,
F213310104357,F2(短大),13(東京),3(私),1(本),東京家政大学短期大学部,東京都板橋区加賀１－１８－１,1738602,2021-01-20,,5227,
F213310104366,F2(短大),13(東京),3(私),1(本),東京交通短期大学,東京都豊島区池袋本町２－５－１５,1700011,2021-01-20,,5228,
F213310104375,F2(短大),13(東京),3(私),1(本),東京成徳短期大学,東京都北区十条台１－７－１３,1140033,2021-01-20,,5231,
F213310104384,F2(短大),13(東京),3(私),1(本),新渡戸文化短期大学,東京都中野区本町６－３８－１,1648638,2021-01-20,,5234,
F213310104393,F2(短大),13(東京),3(私),1(本),東京立正短期大学,東京都杉並区堀之内２－４１－１５,1660013,2021-01-20,,5235,
F213310104400,F2(短大),13(東京),3(私),1(本),東邦音楽短期大学,東京都文京区大塚４－４６－９,1120012,2021-01-20,,5236,
F213310104419,F2(短大),13(東京),3(私),1(本),日本大学短期大学部,東京都千代田区九段南４－８－２４,1028275,2021-01-20,,5246,
F213310104428,F2(短大),13(東京),3(私),9(廃),文化学園大学短期大学部,東京都渋谷区代々木３－２２－１,1510053,2021-01-20,2023-05-01,5248,
F213310104437,F2(短大),13(東京),3(私),1(本),目白大学短期大学部,東京都新宿区中落合４－３１－１,1610032,2021-01-20,,5254,
F213310104446,F2(短大),13(東京),3(私),9(廃),立教女学院短期大学,東京都杉並区久我山４－２９－２３,1680082,2021-01-20,2021-05-27,5256,
F213310104455,F2(短大),13(東京),3(私),1(本),創価女子短期大学,東京都八王子市丹木町１－２３６,1928577,2021-01-20,,5260,
F213310104464,F2(短大),13(東京),3(私),1(本),白梅学園短期大学,東京都小平市小川町１－８３０,1870032,2021-01-20,,5299,
F213310104473,F2(短大),13(東京),3(私),1(本),東京女子体育短期大学,東京都国立市富士見台４－３０－１,1868668,2021-01-20,,5304,
F213310104482,F2(短大),13(東京),3(私),1(本),フェリシアこども短期大学,東京都町田市三輪町１１３５,1950054,2021-01-20,,5306,
F213310104491,F2(短大),13(東京),3(私),1(本),桐朋学園芸術短期大学,東京都調布市若葉町１－４１－１,1828510,2021-01-20,,5307,
F213310104507,F2(短大),13(東京),3(私),1(本),山野美容芸術短期大学,東京都八王子市鑓水５３０,1920396,2021-01-20,,5314,
F213310104516,F2(短大),13(東京),3(私),1(本),日本歯科大学東京短期大学,東京都千代田区富士見二丁目３番１６号,1020071,2021-01-20,,5316,
F213310104525,F2(短大),13(東京),3(私),1(本),東京歯科大学短期大学,東京都千代田区神田三崎町２－９－１８,1010061,2021-01-20,,5317,
F213310104534,F2(短大),13(東京),3(私),1(本),ヤマザキ動物看護専門職短期大学,東京都渋谷区松濤２－３－１０,1500046,2021-01-20,,5318,
F213310104543,F2(短大),13(東京),3(私),1(本),有明教育芸術短期大学,東京都江東区有明２－９－２,1350063,2021-01-20,,5369,
F213310104552,F2(短大),13(東京),3(私),1(本),貞静学園短期大学,東京都文京区小日向１丁目２６番１３号,1120006,2021-01-20,,5377,
G113110104564,G1(高専),13(東京),1(国),1(本),東京工業高等専門学校,東京都八王子市椚田町１２２０－２,1930997,2021-01-20,,6560,
G113210104571,G1(高専),13(東京),2(公),1(本),東京都立産業技術高等専門学校,東京都品川区東大井１－１０－４０,1400011,2021-01-20,,7060,
G113310104588,G1(高専),13(東京),3(私),1(本),サレジオ工業高等専門学校,東京都町田市小山ヶ丘４－６－８,1940215,2021-01-20,,8190,
F114110104592,F1(大学),14(神奈川),1(国),1(本),横浜国立大学,神奈川県横浜市保土ケ谷区常盤台７９－１,2408501,2021-01-20,,0224,
F114110104609,F1(大学),14(神奈川),1(国),1(本),総合研究大学院大学,神奈川県三浦郡葉山町（湘南国際村）,2400193,2021-01-20,,0484,
F114210104616,F1(大学),14(神奈川),2(公),1(本),横浜市立大学,神奈川県横浜市金沢区瀬戸２２－２,2360027,2021-01-20,,1152,
F114210104625,F1(大学),14(神奈川),2(公),1(本),神奈川県立保健福祉大学,神奈川県横須賀市平成町１丁目１０番１,2380013,2021-01-20,,1153,
F114210111993,F1(大学),14(神奈川),2(公),1(本),川崎市立看護大学,神奈川県川崎市幸区小倉４－３０－１,2120054,2022-05-01,,,
F114310104632,F1(大学),14(神奈川),3(私),1(本),星槎大学,神奈川県足柄下郡箱根町仙石原８１７－２５５,2500631,2021-01-20,,2024,
F114310104641,F1(大学),14(神奈川),3(私),1(本),神奈川大学,神奈川県横浜市神奈川区六角橋３－２７－１,2218686,2021-01-20,,2332,
F114310104650,F1(大学),14(神奈川),3(私),1(本),関東学院大学,神奈川県横浜市金沢区六浦東１－５０－１,2368501,2021-01-20,,2333,
F114310104669,F1(大学),14(神奈川),3(私),1(本),鶴見大学,神奈川県横浜市鶴見区鶴見２－１－３,2308501,2021-01-20,,2334,
F114310104678,F1(大学),14(神奈川),3(私),1(本),フェリス女学院大学,神奈川県横浜市泉区緑園４－５－３,2458650,2021-01-20,,2335,
F114310104687,F1(大学),14(神奈川),3(私),1(本),横浜商科大学,神奈川県横浜市鶴見区東寺尾４－１１－１,2308577,2021-01-20,,2336,
F114310104696,F1(大学),14(神奈川),3(私),1(本),八洲学園大学,神奈川県横浜市西区桜木町７丁目４２番地,2200021,2021-01-20,,2337,
F114310104703,F1(大学),14(神奈川),3(私),1(本),情報セキュリティ大学院大学,神奈川県横浜市神奈川区鶴屋町二丁目１４番地１,2210835,2021-01-20,,2338,
F114310104712,F1(大学),14(神奈川),3(私),1(本),横浜薬科大学,神奈川県横浜市戸塚区俣野町字東原６０１番１号,2450066,2021-01-20,,2344,
F114310104721,F1(大学),14(神奈川),3(私),1(本),麻布大学,神奈川県相模原市中央区淵野辺１－１７－７１,2525201,2021-01-20,,2352,
F114310104730,F1(大学),14(神奈川),3(私),1(本),神奈川歯科大学,神奈川県横須賀市稲岡町８２,2388580,2021-01-20,,2353,
F114310104749,F1(大学),14(神奈川),3(私),1(本),鎌倉女子大学,神奈川県鎌倉市大船６－１－３,2478512,2021-01-20,,2354,
F114310104758,F1(大学),14(神奈川),3(私),1(本),湘南工科大学,神奈川県藤沢市辻堂西海岸１－１－２５,2518511,2021-01-20,,2355,
F114310104767,F1(大学),14(神奈川),3(私),1(本),相模女子大学,神奈川県相模原市南区文京２－１－１,2520383,2021-01-20,,2356,
F114310104776,F1(大学),14(神奈川),3(私),1(本),洗足学園音楽大学,神奈川県川崎市高津区久本２－３－１,2138580,2021-01-20,,2357,
F114310104785,F1(大学),14(神奈川),3(私),1(本),聖マリアンナ医科大学,神奈川県川崎市宮前区菅生２－１６－１,2160015,2021-01-20,,2359,
F114310104794,F1(大学),14(神奈川),3(私),1(本),神奈川工科大学,神奈川県厚木市下荻野１０３０,2430203,2021-01-20,,2360,
F114310104801,F1(大学),14(神奈川),3(私),1(本),昭和音楽大学,神奈川県川崎市麻生区上麻生１－１１－１,2158558,2021-01-20,,2362,
F114310104810,F1(大学),14(神奈川),3(私),1(本),桐蔭横浜大学,神奈川県横浜市青葉区鉄町１６１４,2250025,2021-01-20,,2363,
F114310104829,F1(大学),14(神奈川),3(私),1(本),東洋英和女学院大学,神奈川県横浜市緑区三保町３２,2260015,2021-01-20,,2364,
F114310104838,F1(大学),14(神奈川),3(私),1(本),松蔭大学,神奈川県厚木市森の里若宮９番１号,2430124,2021-01-20,,2365,
F114310104847,F1(大学),14(神奈川),3(私),1(本),田園調布学園大学,神奈川県川崎市麻生区東百合丘三丁目４番１号,2158542,2021-01-20,,2366,
F114310104856,F1(大学),14(神奈川),3(私),1(本),横浜美術大学,神奈川県横浜市青葉区鴨志田町１２０４番地,2270033,2021-01-20,,2384,
F114310104865,F1(大学),14(神奈川),3(私),1(本),日本映画大学,神奈川県川崎市麻生区万福寺一丁目１６－３０,2150004,2021-01-20,,2385,
F114310104874,F1(大学),14(神奈川),3(私),1(本),横浜創英大学,神奈川県横浜市緑区三保町１番地,2260015,2021-01-20,,2401,
F114310104883,F1(大学),14(神奈川),3(私),1(本),湘南医療大学,神奈川県横浜市戸塚区上品濃１６－４８,2440806,2021-01-20,,2402,
F114310104892,F1(大学),14(神奈川),3(私),1(本),湘南鎌倉医療大学　,神奈川県鎌倉市山崎１１９５－３　,2470066,2021-01-20,,2409,
F114310104909,F1(大学),14(神奈川),3(私),1(本),ビューティ＆ウェルネス専門職大学,神奈川県横浜市都筑区牛久保３－９－３,2240012,2023-05-01,,,
F114310104918,F1(大学),14(神奈川),3(私),1(本),グローバルＢｉｚ専門職大学,神奈川県川崎市川崎区駅前本町２２－１,2100007,2023-05-01,,,
F214210104900,F2(短大),14(神奈川),2(公),1(本),川崎市立看護短期大学,神奈川県川崎市幸区小倉４－３０－１,2120054,2021-01-20,,4418,
